,cashModel,noCashModel,portfolio,S&P500,EW
2001,,,,,
2002,-0.009914658158532763,-0.009914658158532763,-0.009914658158532874,-0.22100334778687802,-0.179125984888155
2003,0.270148766536753,0.3191073009258134,0.21462784839730875,0.28684248085126596,0.2566494210500916
2004,0.14191567273029682,0.10413289939844605,0.13244951540022654,0.10882102850382647,0.12744711335524173
2005,0.10706929749331051,0.18738822258333054,0.2001292181362162,0.04911783501431022,0.07268655319668582
2006,0.2470088931200396,0.2617894959044802,0.2653682438445706,0.15794463807112513,0.14961159620754505
2007,0.09005461310695129,0.10377223859631535,0.09799531079941048,0.054937263566210426,0.09330602171057367
2008,-0.1058525061495007,-0.26087861054871175,-0.10585250614950081,-0.36997610819389226,-0.3192061687008597
2009,-0.006508647258634204,0.14856961436067917,0.15963021329856142,0.2646423212982967,0.2537152261065727
2010,0.059227989244973855,0.11598698155592002,0.24807320454061332,0.15063401360544182,0.14803007898981124
2011,0.04294008791488446,-0.03755062579363844,0.006890304585211338,0.021118200436079704,0.03049807405367111
2012,0.08034209331968167,0.15991821838011555,0.07114205138749252,0.16003223804274325,0.13248140209121217
2013,0.3271258290554362,0.3223053368352855,0.3223053368352853,0.32388478062960235,0.2747251725441979
2014,0.10949545839001495,0.1518628539330229,0.15186285393302312,0.13688363157085126,0.11992483983359081
2015,0.07427478304323798,0.09684067185525658,0.09682559906503241,0.013837599218982088,-0.00727167174893617
2016,0.13077704355147746,0.13713635415658043,0.11530675357930109,0.119599120787105,0.150951526735716
2017,0.20019127828757877,0.20566649014128124,0.20566649014128102,0.2183160148270724,0.16621329331041967
2018,-0.04200487702053546,0.015125739594957333,-0.003042461519772055,-0.04384241745255835,-0.05979393592732418
2019,0.3540727503748806,0.3660212469011266,0.318498047027864,0.3148637098683442,0.2608385870714329
